               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,             0.05968,            0.020572,           0.0065704,             0.78116,             0.18519,             0.12389,              0.0594,            0.067547,            0.013276,            0.025787,             0.00844,             0.00844,             0.00844
                  54,             0.05496,             0.02282,           0.0073568,             0.75764,             0.18094,              0.1312,            0.065995,            0.065731,            0.013048,            0.025426,             0.00841,             0.00841,             0.00841
                  55,            0.060854,            0.023108,           0.0057676,             0.79096,             0.25926,             0.17102,            0.080674,            0.065671,            0.012727,            0.024169,             0.00838,             0.00838,             0.00838
                  56,            0.064518,            0.026892,           0.0089784,             0.79096,             0.25926,             0.17102,            0.080674,            0.065671,            0.012727,            0.024169,             0.00835,             0.00835,             0.00835
                  57,            0.058706,            0.022246,             0.00741,             0.81629,              0.1511,             0.32924,            0.087113,            0.066453,            0.012724,            0.025103,             0.00832,             0.00832,             0.00832
                  58,            0.055158,            0.018065,           0.0064574,             0.94219,             0.11111,             0.48727,             0.12768,            0.065341,            0.012816,            0.025999,             0.00829,             0.00829,             0.00829
                  59,            0.055381,            0.026021,           0.0061949,             0.79015,             0.22222,             0.13536,            0.039632,            0.069276,            0.012573,            0.029624,             0.00826,             0.00826,             0.00826
                  60,            0.056168,            0.022124,           0.0067903,             0.79015,             0.22222,             0.13536,            0.039632,            0.069276,            0.012573,            0.029624,             0.00823,             0.00823,             0.00823
                  61,            0.055575,            0.024487,           0.0079064,             0.87897,             0.14815,             0.15418,            0.042004,            0.067844,             0.01241,            0.031694,              0.0082,              0.0082,              0.0082
                  62,            0.053948,            0.022592,           0.0067461,             0.74214,             0.18434,            0.070574,            0.029139,            0.063283,            0.012898,            0.032284,             0.00817,             0.00817,             0.00817
                  63,            0.055261,            0.021567,           0.0090758,             0.76897,             0.18519,            0.081174,            0.026616,            0.067032,            0.012321,            0.032415,             0.00814,             0.00814,             0.00814
                  64,            0.057778,            0.020855,           0.0095139,             0.76897,             0.18519,            0.081174,            0.026616,            0.067032,            0.012321,            0.032415,             0.00811,             0.00811,             0.00811
                  65,            0.054758,            0.026402,           0.0085417,              0.7668,             0.14815,            0.072532,            0.033618,             0.06439,            0.012457,            0.031691,             0.00808,             0.00808,             0.00808
                  66,            0.053947,            0.024494,           0.0067932,              0.7402,             0.14815,            0.071282,            0.022851,            0.067369,            0.012512,            0.029807,             0.00805,             0.00805,             0.00805
                  67,            0.061391,            0.020755,           0.0056294,             0.78098,             0.22222,               0.123,            0.044979,            0.065346,            0.012331,            0.029413,             0.00802,             0.00802,             0.00802
                  68,            0.049582,             0.02445,            0.005037,             0.78098,             0.22222,               0.123,            0.044979,            0.065346,            0.012331,            0.029413,             0.00799,             0.00799,             0.00799
                  69,             0.04888,             0.01786,           0.0051298,             0.74801,             0.18519,              0.0712,            0.034338,            0.062862,            0.012498,            0.028407,             0.00796,             0.00796,             0.00796
                  70,            0.050353,            0.020358,           0.0044677,              0.7591,             0.11111,             0.15716,            0.045384,            0.058578,            0.013324,             0.02643,             0.00793,             0.00793,             0.00793
                  71,            0.054857,             0.01857,           0.0039299,             0.84611,             0.14815,              0.3099,            0.078324,            0.062594,            0.013135,            0.022873,              0.0079,              0.0079,              0.0079
                  72,             0.05232,            0.021006,           0.0059229,             0.84611,             0.14815,              0.3099,            0.078324,            0.062594,            0.013135,            0.022873,             0.00787,             0.00787,             0.00787
                  73,            0.051753,            0.019613,           0.0062227,             0.80211,             0.11111,            0.085141,            0.043068,            0.064877,            0.012827,            0.021297,             0.00784,             0.00784,             0.00784
                  74,            0.048195,            0.022036,           0.0051228,             0.77455,             0.11111,             0.10669,            0.050054,            0.064425,            0.012982,            0.020582,             0.00781,             0.00781,             0.00781
                  75,            0.049893,            0.022279,            0.005613,             0.79642,             0.14815,             0.45278,            0.082166,            0.062773,            0.012768,            0.020989,             0.00778,             0.00778,             0.00778
                  76,            0.051824,            0.020495,           0.0050521,             0.79642,             0.14815,             0.45278,            0.082166,            0.062773,            0.012768,            0.020989,             0.00775,             0.00775,             0.00775
                  77,            0.052386,            0.019529,           0.0048122,             0.85098,             0.14815,             0.46656,            0.086041,             0.05931,            0.013207,            0.021661,             0.00772,             0.00772,             0.00772
                  78,            0.054343,            0.022679,            0.005648,             0.79266,             0.14815,             0.43851,             0.06669,            0.056185,            0.013238,            0.022586,             0.00769,             0.00769,             0.00769
                  79,            0.056785,             0.02445,           0.0052562,              0.9044,             0.14815,             0.16569,            0.060118,             0.05799,            0.012905,            0.023814,             0.00766,             0.00766,             0.00766
                  80,            0.048856,            0.021799,           0.0066791,              0.9044,             0.14815,             0.16569,            0.060118,             0.05799,            0.012905,            0.023814,             0.00763,             0.00763,             0.00763
                  81,            0.042947,            0.020423,           0.0044905,             0.91534,             0.14815,             0.17379,            0.069058,            0.058054,            0.012831,            0.024981,              0.0076,              0.0076,              0.0076
                  82,            0.048311,            0.019912,           0.0052017,             0.83189,             0.14815,             0.12382,            0.054185,            0.054215,            0.013376,            0.028119,             0.00757,             0.00757,             0.00757
                  83,            0.056012,            0.020109,           0.0040293,             0.80424,             0.18519,             0.13056,            0.064372,            0.059467,            0.012905,            0.028835,             0.00754,             0.00754,             0.00754
                  84,            0.049561,            0.018877,           0.0028355,             0.80424,             0.18519,             0.13056,            0.064372,            0.059467,            0.012905,            0.028835,             0.00751,             0.00751,             0.00751
                  85,            0.047537,            0.020015,           0.0052869,              0.8845,             0.14815,             0.17034,            0.064212,            0.056712,            0.013152,            0.030217,             0.00748,             0.00748,             0.00748
                  86,            0.046642,            0.022169,           0.0039343,             0.92164,             0.14815,             0.17726,            0.079694,            0.055116,            0.013114,             0.02995,             0.00745,             0.00745,             0.00745
                  87,            0.046593,            0.023568,           0.0044351,             0.77883,             0.18799,             0.12947,            0.055139,             0.05982,               0.013,            0.030466,             0.00742,             0.00742,             0.00742
                  88,            0.053879,            0.020412,           0.0048633,             0.77883,             0.18799,             0.12947,            0.055139,             0.05982,               0.013,            0.030466,             0.00739,             0.00739,             0.00739
                  89,            0.050812,            0.020395,           0.0053082,             0.77796,             0.18568,             0.15276,            0.065095,            0.061003,            0.012822,            0.031306,             0.00736,             0.00736,             0.00736
                  90,            0.050099,            0.018925,           0.0031886,             0.83346,             0.18519,             0.17121,            0.074971,            0.064792,             0.01255,            0.031524,             0.00733,             0.00733,             0.00733
                  91,            0.057819,            0.022324,           0.0045695,             0.88113,             0.22222,             0.20556,             0.11301,            0.060676,            0.012901,            0.030216,              0.0073,              0.0073,              0.0073
                  92,            0.042807,            0.021861,           0.0040013,             0.88113,             0.22222,             0.20556,             0.11301,            0.060676,            0.012901,            0.030216,             0.00727,             0.00727,             0.00727
                  93,            0.041894,            0.020596,           0.0057639,             0.88288,              0.2062,             0.20377,            0.094515,            0.056913,            0.012996,             0.03008,             0.00724,             0.00724,             0.00724
                  94,            0.044329,            0.020626,           0.0046021,              0.8739,              0.1829,             0.18949,             0.12353,            0.061365,            0.012501,            0.030501,             0.00721,             0.00721,             0.00721
                  95,             0.05191,            0.019598,           0.0050307,             0.91415,             0.21439,             0.20282,             0.08036,            0.057909,            0.012566,            0.030948,             0.00718,             0.00718,             0.00718
                  96,            0.046947,            0.022697,           0.0051127,             0.91415,             0.21439,             0.20282,             0.08036,            0.057909,            0.012566,            0.030948,             0.00715,             0.00715,             0.00715
                  97,             0.04411,            0.019835,           0.0034356,             0.93316,             0.18519,             0.21831,             0.11528,            0.058668,            0.012183,            0.030241,             0.00712,             0.00712,             0.00712
                  98,            0.041617,            0.016965,           0.0034862,              0.9142,             0.21454,             0.20775,             0.10464,            0.056913,            0.012218,            0.032214,             0.00709,             0.00709,             0.00709
                  99,            0.047294,            0.022953,           0.0049715,             0.85633,             0.22222,             0.18089,             0.12623,            0.057128,            0.012119,            0.032333,             0.00706,             0.00706,             0.00706
                 100,             0.04566,            0.022992,           0.0047369,             0.85633,             0.22222,             0.18089,             0.12623,            0.057128,            0.012119,            0.032333,             0.00703,             0.00703,             0.00703
                 101,            0.045903,            0.016938,            0.004982,             0.87373,             0.22222,             0.18507,             0.11949,            0.054282,            0.012293,            0.032603,               0.007,               0.007,               0.007
                 102,            0.041314,            0.019013,            0.003212,             0.90082,             0.22222,             0.20324,             0.11142,            0.054214,            0.012467,            0.033692,             0.00697,             0.00697,             0.00697
                 103,              0.0428,            0.019951,           0.0040925,             0.85748,             0.22222,              0.1937,             0.10114,            0.054849,            0.012406,            0.034158,             0.00694,             0.00694,             0.00694
                 104,            0.047671,            0.021179,           0.0037467,             0.85748,             0.22222,              0.1937,             0.10114,            0.054849,            0.012406,            0.034158,             0.00691,             0.00691,             0.00691
                 105,            0.045809,            0.021122,           0.0090722,             0.89039,             0.22222,             0.20742,             0.10917,            0.055952,            0.012578,            0.034363,             0.00688,             0.00688,             0.00688
                 106,            0.041295,            0.018957,           0.0040527,             0.91366,             0.21286,             0.22021,             0.11311,            0.055947,            0.012547,            0.034351,             0.00685,             0.00685,             0.00685
